Antibiotic,Model,ROC-AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1-Score,MCC
IPM,XGBoost,0.7163116747543694,0.6820728291316527,0.6762471132549872,0.6801872074882995,0.7629046369203849,0.7191752577319588,0.3587274655419749
IPM,LightGBM,0.7134413503617353,0.680672268907563,0.6746195013911549,0.6780449961210241,0.7646544181977253,0.71875,0.35589970212426275
IPM,Random Forest,0.7242005785312872,0.680672268907563,0.6765111568261175,0.6867371847030106,0.7384076990376203,0.7116357504215851,0.35612026347571607
IPM,Gradient Boosting,0.7151359583555559,0.6834733893557423,0.6774333388506617,0.6803723816912335,0.7672790901137357,0.7212171052631579,0.3616347082701185
GEN,XGBoost,0.5720532697276883,0.7390289449112979,0.5204863181607368,0.22258064516129034,0.17829457364341086,0.19799139167862267,0.044806845550043495
GEN,LightGBM,0.5674227198775003,0.742296918767507,0.5184522626383091,0.22033898305084745,0.16795865633074936,0.1906158357771261,0.041203035298905316
GEN,Random Forest,0.5923459734829244,0.6867413632119514,0.5469886702444842,0.23605947955390336,0.3281653746770026,0.2745945945945946,0.08337270142609622
GEN,Gradient Boosting,0.5723727703055869,0.7675070028011205,0.5207447160935533,0.24186046511627907,0.1343669250645995,0.17275747508305647,0.05312163663863781
AN,XGBoost,0.5535002332544888,0.7278244631185807,0.5269755462849938,0.22404371584699453,0.2152230971128609,0.21954484605087016,0.05481259790783892
AN,LightGBM,0.5471248589667348,0.73062558356676,0.5183950600723461,0.21176470588235294,0.1889763779527559,0.19972260748959778,0.03849962683781176
AN,Random Forest,0.5618198917639554,0.611577964519141,0.5354643701905234,0.2067620286085826,0.41732283464566927,0.27652173913043476,0.056541324088730034
AN,Gradient Boosting,0.5605597213465863,0.7488328664799253,0.5274115011603107,0.2356902356902357,0.1837270341207349,0.20648967551622419,0.060663654764213794
Acide nalidixique,XGBoost,0.6302393707351716,0.6587301587301587,0.5728378670454195,0.17963224893917965,0.4568345323741007,0.2578680203045685,0.10411106996371185
Acide nalidixique,LightGBM,0.6243815033809862,0.6858076563958917,0.5547287491894897,0.17355371900826447,0.3776978417266187,0.23782559456398641,0.08171019541286285
Acide nalidixique,Random Forest,0.6263334825701671,0.6139122315592904,0.5715719270077501,0.17125748502994012,0.5143884892086331,0.25696316262353996,0.09863635759979328
Acide nalidixique,Gradient Boosting,0.6238951971470035,0.6587301587301587,0.5575346589681045,0.1703056768558952,0.420863309352518,0.24248704663212436,0.08285047938124894
ofx,XGBoost,0.6336812836882737,0.6844070961718021,0.5687939792161797,0.18152866242038215,0.41304347826086957,0.252212389380531,0.10126235605039285
ofx,LightGBM,0.6325424841169983,0.7236227824463118,0.5619728319120183,0.18774703557312253,0.3442028985507246,0.24296675191815856,0.09776306086619853
ofx,Random Forest,0.6180662348354224,0.6213818860877685,0.5897350761918077,0.18040621266427717,0.5471014492753623,0.27133872416891286,0.12323515267510757
ofx,Gradient Boosting,0.6318036721189244,0.6820728291316527,0.5736287804650729,0.18408736349453977,0.427536231884058,0.257360959651036,0.1077379239584805
CIP,XGBoost,0.6579044176001883,0.69234360410831,0.5929176851528524,0.2082018927444795,0.45674740484429066,0.28602383531960995,0.139081609783692
CIP,LightGBM,0.6562723498973889,0.719421101774043,0.5808228310212374,0.2100371747211896,0.39100346020761245,0.27327690447400244,0.12733780679542933
CIP,Random Forest,0.6562340691331928,0.6521942110177404,0.6062188501952319,0.2038961038961039,0.5432525951557093,0.29650613786591123,0.15125014663217276
CIP,Gradient Boosting,0.6561771148254865,0.6946778711484594,0.5942668486714707,0.20985691573926868,0.45674740484429066,0.2875816993464052,0.14142651147103372
